======================================================================
  CIFAR-10 Training: ResNet-20
======================================================================
  Epochs: 200 | Batch: 128 | LR: 0.1
  Weight Decay: 0.0005 | Optimizer: sgd
  Scheduler: CosineAnnealingLR (T_max=200)
  Early Stop: patience=25 | min_delta=0.01
----------------------------------------------------------------------
  Data: 45000 train | 5000 val
----------------------------------------------------------------------
  Model: ResNet-20 | 0.27M params | AMP: True
----------------------------------------------------------------------
Epoch: 108/200 | LR: 0.044513 | Train Loss: 0.5510 | Train Acc: 80.93% | Val Loss: 0.4745 | Val Acc: 84.76% | Best: 86.74% | Patience: 5/25 | Time: 10.0s
Epoch: 109/200 | LR: 0.043733 | Train Loss: 0.5518 | Train Acc: 80.80% | Val Loss: 0.5093 | Val Acc: 84.10% | Best: 86.74% | Patience: 6/25 | Time: 9.9s
Epoch: 110/200 | LR: 0.042955 | Train Loss: 0.5464 | Train Acc: 81.33% | Val Loss: 0.5197 | Val Acc: 83.74% | Best: 86.74% | Patience: 7/25 | Time: 10.0s
Epoch: 111/200 | LR: 0.042178 | Train Loss: 0.5437 | Train Acc: 81.34% | Val Loss: 0.4345 | Val Acc: 85.92% | Best: 86.74% | Patience: 8/25 | Time: 10.0s
Epoch: 112/200 | LR: 0.041404 | Train Loss: 0.5382 | Train Acc: 81.39% | Val Loss: 0.4495 | Val Acc: 85.46% | Best: 86.74% | Patience: 9/25 | Time: 10.0s
Epoch: 113/200 | LR: 0.040631 | Train Loss: 0.5384 | Train Acc: 81.20% | Val Loss: 0.5028 | Val Acc: 84.66% | Best: 86.74% | Patience: 10/25 | Time: 10.0s
Epoch: 114/200 | LR: 0.039861 | Train Loss: 0.5376 | Train Acc: 81.48% | Val Loss: 0.4659 | Val Acc: 84.78% | Best: 86.74% | Patience: 11/25 | Time: 10.0s
Epoch: 115/200 | LR: 0.039093 | Train Loss: 0.5306 | Train Acc: 81.71% | Val Loss: 0.4165 | Val Acc: 86.14% | Best: 86.74% | Patience: 0/25 | Time: 10.0s
Epoch: 116/200 | LR: 0.038328 | Train Loss: 0.5232 | Train Acc: 81.78% | Val Loss: 0.6957 | Val Acc: 78.28% | Best: 86.74% | Patience: 1/25 | Time: 10.0s
Epoch: 117/200 | LR: 0.037566 | Train Loss: 0.5263 | Train Acc: 81.78% | Val Loss: 0.4805 | Val Acc: 84.98% | Best: 86.74% | Patience: 2/25 | Time: 9.9s
Epoch: 118/200 | LR: 0.036806 | Train Loss: 0.5264 | Train Acc: 81.80% | Val Loss: 0.4028 | Val Acc: 86.62% | Best: 86.74% | Patience: 0/25 | Time: 9.9s
Epoch: 119/200 | LR: 0.036050 | Train Loss: 0.5220 | Train Acc: 81.94% | Val Loss: 0.4112 | Val Acc: 86.94% | Best: 86.94% * | Patience: 0/25 | Time: 9.9s
Epoch: 120/200 | LR: 0.035298 | Train Loss: 0.5151 | Train Acc: 82.14% | Val Loss: 0.4597 | Val Acc: 85.36% | Best: 86.94% | Patience: 1/25 | Time: 9.9s
Epoch: 121/200 | LR: 0.034549 | Train Loss: 0.5115 | Train Acc: 82.49% | Val Loss: 0.4175 | Val Acc: 85.38% | Best: 86.94% | Patience: 2/25 | Time: 9.9s
Epoch: 122/200 | LR: 0.033804 | Train Loss: 0.5110 | Train Acc: 82.36% | Val Loss: 0.4294 | Val Acc: 85.82% | Best: 86.94% | Patience: 3/25 | Time: 9.9s
Epoch: 123/200 | LR: 0.033063 | Train Loss: 0.5058 | Train Acc: 82.44% | Val Loss: 0.4211 | Val Acc: 86.48% | Best: 86.94% | Patience: 4/25 | Time: 10.0s
Epoch: 124/200 | LR: 0.032326 | Train Loss: 0.5076 | Train Acc: 82.43% | Val Loss: 0.4100 | Val Acc: 86.84% | Best: 86.94% | Patience: 5/25 | Time: 9.9s
Epoch: 125/200 | LR: 0.031594 | Train Loss: 0.4998 | Train Acc: 82.76% | Val Loss: 0.4128 | Val Acc: 86.30% | Best: 86.94% | Patience: 6/25 | Time: 9.9s
Epoch: 126/200 | LR: 0.030866 | Train Loss: 0.5010 | Train Acc: 82.65% | Val Loss: 0.5365 | Val Acc: 83.88% | Best: 86.94% | Patience: 7/25 | Time: 9.9s
Epoch: 127/200 | LR: 0.030143 | Train Loss: 0.4916 | Train Acc: 83.00% | Val Loss: 0.4424 | Val Acc: 85.54% | Best: 86.94% | Patience: 8/25 | Time: 9.9s
Epoch: 128/200 | LR: 0.029424 | Train Loss: 0.4929 | Train Acc: 83.16% | Val Loss: 0.4595 | Val Acc: 85.40% | Best: 86.94% | Patience: 9/25 | Time: 10.0s
Epoch: 129/200 | LR: 0.028711 | Train Loss: 0.4846 | Train Acc: 83.04% | Val Loss: 0.3689 | Val Acc: 87.88% | Best: 87.88% * | Patience: 0/25 | Time: 9.9s
Epoch: 130/200 | LR: 0.028003 | Train Loss: 0.4912 | Train Acc: 83.13% | Val Loss: 0.3980 | Val Acc: 86.96% | Best: 87.88% | Patience: 0/25 | Time: 10.0s
